Code,Name,Country,Exchange,Currency,Type
4359,Turiya Berhad,Malaysia,KLSE,MYR,Common Stock
4375,South Malaysia Industries Bhd,Malaysia,KLSE,MYR,Common Stock
4383,Jaya Tiasa Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
4405,Tan Chong Motor Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
4456,Dagang NeXchange Berhad,Malaysia,KLSE,MYR,Common Stock
4464,Naim Indah Corp. Bhd,Malaysia,KLSE,MYR,Common Stock
4502,Media Prima Bhd,Malaysia,KLSE,MYR,Common Stock
4588,UMW Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
4596,Sapura Resources Berhad,Malaysia,KLSE,MYR,Common Stock
4634,Pos Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
4677,YTL Corporation Berhad,Malaysia,KLSE,MYR,Common Stock
4707,Nestlé (Malaysia) Berhad,Malaysia,KLSE,MYR,Common Stock
4715,Genting Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
4723,JAKS Resources Berhad,Malaysia,KLSE,MYR,Common Stock
4731,Scientex Berhad,Malaysia,KLSE,MYR,Common Stock
4758,Ancom Berhad,Malaysia,KLSE,MYR,Common Stock
4847,Konsortium Transnasional Bhd,Malaysia,KLSE,MYR,Common Stock
4863,Telekom Malaysia Berhad,Malaysia,KLSE,MYR,Common Stock
4898,TA Enterprise Berhad,Malaysia,KLSE,MYR,Common Stock
4936,Malpac Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
4944,Nylex (Malaysia) Berhad,Malaysia,KLSE,MYR,Common Stock
4952,Amanah Harta Tanah PNB,Malaysia,KLSE,MYR,Common Stock
4995,Versatile Creative Berhad,Malaysia,KLSE,MYR,Common Stock
5000,Hume Industries Berhad,Malaysia,KLSE,MYR,Common Stock
5001,Mieco Chipboard Bhd,Malaysia,KLSE,MYR,Common Stock
5005,Unisem (M) Berhad,Malaysia,KLSE,MYR,Common Stock
5006,Merge Energy Bhd,Malaysia,KLSE,MYR,Common Stock
5007,Chin Well Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5008,Harrisons Holdings (Malaysia) Berhad,Malaysia,KLSE,MYR,Common Stock
5009,White Horse Bhd,Malaysia,KLSE,MYR,Common Stock
5010,Tong Herr Resources Bhd,Malaysia,KLSE,MYR,Common Stock
5011,Mesiniaga Bhd,Malaysia,KLSE,MYR,Common Stock
5012,TA Ann Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5014,Malaysia Airports Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5015,APM Automotive Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5016,Warisan TC Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5020,Glomac Berhad,Malaysia,KLSE,MYR,Common Stock
5021,AYS Ventures Berhad,Malaysia,KLSE,MYR,Common Stock
5022,Paos Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5024,Hup Seng Industries Bhd,Malaysia,KLSE,MYR,Common Stock
5025,NWP Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5026,MHC Plantations Bhd,Malaysia,KLSE,MYR,Common Stock
5027,Kim Loong Resources Berhad,Malaysia,KLSE,MYR,Common Stock
5028,Heitech Padu Bhd,Malaysia,KLSE,MYR,Common Stock
5029,Far East Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5031,Time Dotcom Bhd,Malaysia,KLSE,MYR,Common Stock
5032,Bintulu Port Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5035,Knusford Bhd,Malaysia,KLSE,MYR,Common Stock
5036,Edaran Berhad,Malaysia,KLSE,MYR,Common Stock
5037,Compugates Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5038,KSL Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5040,Meda Inc. Bhd,Malaysia,KLSE,MYR,Common Stock
5041,PBA Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5042,TSR Capital Berhad,Malaysia,KLSE,MYR,Common Stock
5047,NPC Resources Bhd,Malaysia,KLSE,MYR,Common Stock
5048,Yi-Lai Bhd,Malaysia,KLSE,MYR,Common Stock
5049,Country View Bhd,Malaysia,KLSE,MYR,Common Stock
5053,OSK Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5054,TRC Synergy Bhd,Malaysia,KLSE,MYR,Common Stock
5056,Engtex Group Bhd,Malaysia,KLSE,MYR,Common Stock
5062,Hua Yang Bhd,Malaysia,KLSE,MYR,Common Stock
5065,Ornapaper Bhd,Malaysia,KLSE,MYR,Common Stock
5066,NTPM Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5068,Luster Industries Bhd,Malaysia,KLSE,MYR,Common Stock
5069,Bld Plantation Bhd,Malaysia,KLSE,MYR,Common Stock
5070,Protasco Bhd,Malaysia,KLSE,MYR,Common Stock
5071,Coastal Contracts Bhd,Malaysia,KLSE,MYR,Common Stock
5072,Hiap Teck Venture Bhd,Malaysia,KLSE,MYR,Common Stock
5073,Naim Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5075,Plenitude Berhad,Malaysia,KLSE,MYR,Common Stock
5077,Malaysian Bulk Carriers Bhd,Malaysia,KLSE,MYR,Common Stock
5078,Silk Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5079,KBES Bhd,Malaysia,KLSE,MYR,Common Stock
5080,Poh Kong Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5081,Esthetics International Group Bhd,Malaysia,KLSE,MYR,Common Stock
5082,Cymao Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5084,Ibraco Berhad,Malaysia,KLSE,MYR,Common Stock
5085,Mudajaya Group Bhd,Malaysia,KLSE,MYR,Common Stock
5087,Mycron Steel Bhd,Malaysia,KLSE,MYR,Common Stock
5088,Apex Equity Holdings Berhad,Malaysia,KLSE,MYR,Common Stock
5090,Media Chinese International Limited,Malaysia,KLSE,MYR,Common Stock
5094,CSC Steel Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
5095,HeveaBoard Bhd,Malaysia,KLSE,MYR,Common Stock
5098,Malaysia Steel Works (KL) Bhd,Malaysia,KLSE,MYR,Common Stock
5099,AirAsia Berhad,Malaysia,KLSE,MYR,Common Stock
5100,BP Plastics Holding Bhd,Malaysia,KLSE,MYR,Common Stock
5101,Evergreen Fibreboard Bhd,Malaysia,KLSE,MYR,Common Stock
5102,Guan Chong Bhd,Malaysia,KLSE,MYR,Common Stock
